x,y,z,e
f1000(u32),f1000(u32),f1000(u32),f1000(s64)
0.000,0.000,0.000,-5.000
0.000,0.000,0.250,-5.000
130.792,56.953,0.250,-5.000
130.792,56.953,0.250,0.000
133.717,58.404,0.250,0.124
134.217,58.760,0.250,0.148
134.687,59.175,0.250,0.172
135.283,59.888,0.250,0.207
135.755,60.707,0.250,0.243
136.003,61.333,0.250,0.269
136.734,64.409,0.250,0.389
138.053,64.169,0.250,0.440
138.941,64.077,0.250,0.474
139.502,64.116,0.250,0.495
140.408,64.406,0.250,0.532
140.888,64.701,0.250,0.553
141.324,65.092,0.250,0.575
141.744,65.663,0.250,0.602
142.033,66.333,0.250,0.630
142.754,69.478,0.250,0.753
142.736,70.534,0.250,0.793
142.496,71.292,0.250,0.824
142.047,72.000,0.250,0.856
141.319,72.641,0.250,0.892
140.160,73.127,0.250,0.940
138.815,73.502,0.250,0.993
139.498,76.687,0.250,1.117
139.528,77.619,0.250,1.153
139.395,78.559,0.250,1.189
139.271,79.000,0.250,1.207
139.112,79.430,0.250,1.224
138.664,80.271,0.250,1.260
136.688,82.796,0.250,1.382
137.688,83.679,0.250,1.433
138.307,84.307,0.250,1.467
138.665,84.831,0.250,1.491
138.912,85.420,0.250,1.515
139.043,86.145,0.250,1.543
139.009,86.847,0.250,1.570
138.813,87.545,0.250,1.598
138.469,88.174,0.250,1.625
136.468,90.683,0.250,1.747
135.400,91.437,0.250,1.797
134.754,91.633,0.250,1.823
134.077,91.694,0.250,1.849
133.084,91.512,0.250,1.887
131.990,90.908,0.250,1.935
130.871,90.097,0.250,1.987
128.798,92.633,0.250,2.112
128.078,93.241,0.250,2.148
127.284,93.707,0.250,2.183
126.862,93.885,0.250,2.200
126.426,94.029,0.250,2.218
125.489,94.204,0.250,2.254
122.281,94.236,0.250,2.376
122.214,95.573,0.250,2.427
122.134,96.295,0.250,2.455
121.921,97.054,0.250,2.485
121.520,97.741,0.250,2.515
121.006,98.271,0.250,2.543
120.349,98.683,0.250,2.573
119.596,98.930,0.250,2.603
119.065,98.980,0.250,2.623
116.036,98.979,0.250,2.739
115.294,98.846,0.250,2.767
114.626,98.556,0.250,2.795
114.135,98.204,0.250,2.818
113.707,97.751,0.250,2.842
113.254,96.943,0.250,2.877
113.096,96.364,0.250,2.900
113.009,95.611,0.250,2.929
112.934,94.236,0.250,2.981
109.696,94.200,0.250,3.105
108.794,94.029,0.250,3.139
108.359,93.885,0.250,3.157
107.937,93.707,0.250,3.174
107.112,93.219,0.250,3.211
106.381,92.590,0.250,3.248
104.353,90.095,0.250,3.370
103.227,90.911,0.250,3.423
102.295,91.451,0.250,3.464
101.424,91.674,0.250,3.498
100.633,91.662,0.250,3.528
99.911,91.473,0.250,3.557
98.815,90.749,0.250,3.607
96.737,88.151,0.250,3.734
96.389,87.498,0.250,3.762
96.203,86.791,0.250,3.790
96.176,86.179,0.250,3.813
96.265,85.574,0.250,3.836
96.613,84.729,0.250,3.871
96.965,84.247,0.250,3.894
97.501,83.709,0.250,3.923
98.533,82.803,0.250,3.975
96.561,80.281,0.250,4.097
96.329,79.888,0.250,4.114
96.128,79.476,0.250,4.132
95.814,78.501,0.250,4.171
95.692,77.607,0.250,4.205
95.724,76.680,0.250,4.240
96.414,73.508,0.250,4.364
95.065,73.128,0.250,4.417
93.925,72.654,0.250,4.464
93.163,71.991,0.250,4.503
92.769,71.383,0.250,4.530
92.514,70.677,0.250,4.559
92.463,69.492,0.250,4.604
93.177,66.364,0.250,4.726
93.437,65.733,0.250,4.752
93.829,65.169,0.250,4.778
94.287,64.736,0.250,4.802
94.827,64.398,0.250,4.827
95.792,64.105,0.250,4.865
96.387,64.082,0.250,4.888
97.144,64.166,0.250,4.917
98.491,64.398,0.250,4.969
99.230,61.292,0.250,5.090
99.392,60.866,0.250,5.108
99.589,60.452,0.250,5.125
100.156,59.598,0.250,5.164
100.779,58.946,0.250,5.198
101.523,58.393,0.250,5.234
104.438,56.952,0.250,5.358
103.888,55.661,0.250,5.411
103.561,54.551,0.250,5.455
103.587,53.493,0.250,5.495
103.839,52.743,0.250,5.525
104.255,52.089,0.250,5.555
104.691,51.655,0.250,5.578
105.184,51.330,0.250,5.601
107.909,50.012,0.250,5.716
108.725,49.768,0.250,5.749
109.536,49.746,0.250,5.779
110.071,49.850,0.250,5.800
110.581,50.041,0.250,5.821
111.399,50.606,0.250,5.859
111.754,51.011,0.250,5.879
112.186,51.689,0.250,5.910
112.840,52.903,0.250,5.962
115.750,51.537,0.250,6.085
116.669,51.288,0.250,6.121
117.124,51.229,0.250,6.139
117.582,51.206,0.250,6.156
118.503,51.281,0.250,6.191
119.435,51.524,0.250,6.228
122.382,52.902,0.250,6.352
123.053,51.661,0.250,6.405
123.741,50.687,0.250,6.451
124.428,50.154,0.250,6.484
125.054,49.879,0.250,6.510
125.729,49.743,0.250,6.536
126.481,49.765,0.250,6.565
127.201,49.969,0.250,6.593
130.093,51.353,0.250,6.715
130.751,51.856,0.250,6.747
131.294,52.565,0.250,6.781
131.675,53.794,0.250,6.830
131.605,54.857,0.250,6.871
131.304,55.738,0.250,6.906
130.815,56.898,0.250,6.954
130.463,56.872,0.250,6.954
130.455,56.990,0.250,6.958
130.516,57.145,0.250,6.965
130.596,57.241,0.250,6.970
130.787,57.365,0.250,6.978
133.517,58.711,0.250,7.094
133.996,59.052,0.250,7.117
134.433,59.440,0.250,7.139
134.991,60.110,0.250,7.172
135.431,60.877,0.250,7.206
135.657,61.454,0.250,7.229
136.329,64.315,0.250,7.341
136.410,64.532,0.250,7.350
136.521,64.665,0.250,7.357
136.749,64.752,0.250,7.366
136.927,64.747,0.250,7.373
138.112,64.531,0.250,7.418
138.962,64.443,0.250,7.451
139.453,64.479,0.250,7.470
140.235,64.729,0.250,7.501
140.681,65.004,0.250,7.521
141.063,65.350,0.250,7.541
141.435,65.861,0.250,7.565
141.690,66.460,0.250,7.589
142.392,69.538,0.250,7.710
142.379,70.451,0.250,7.744
142.172,71.120,0.250,7.771
141.782,71.746,0.250,7.799
141.148,72.315,0.250,7.832
140.029,72.784,0.250,7.878
138.824,73.118,0.250,7.925
138.597,73.244,0.250,7.935
138.474,73.452,0.250,7.945
138.484,73.757,0.250,7.956
139.132,76.716,0.250,8.071
139.161,77.615,0.250,8.106
139.039,78.472,0.250,8.139
138.921,78.893,0.250,8.155
138.773,79.290,0.250,8.172
138.349,80.084,0.250,8.206
136.504,82.434,0.250,8.320
136.418,82.560,0.250,8.325
136.351,82.810,0.250,8.335
136.449,83.074,0.250,8.346
137.440,83.949,0.250,8.396
138.034,84.552,0.250,8.428
138.350,85.020,0.250,8.450
138.566,85.540,0.250,8.471
138.678,86.186,0.250,8.496
138.645,86.806,0.250,8.520
138.481,87.388,0.250,8.543
138.172,87.958,0.250,8.568
136.197,90.435,0.250,8.688
135.265,91.095,0.250,8.732
134.666,91.277,0.250,8.756
134.072,91.327,0.250,8.778
133.183,91.158,0.250,8.813
132.179,90.594,0.250,8.857
131.186,89.873,0.250,8.903
131.041,89.799,0.250,8.910
130.905,89.771,0.250,8.915
130.744,89.789,0.250,8.921
130.550,89.911,0.250,8.930
128.548,92.365,0.250,9.050
127.878,92.934,0.250,9.084
127.131,93.374,0.250,9.117
126.727,93.545,0.250,9.134
126.324,93.677,0.250,9.150
125.438,93.841,0.250,9.184
122.455,93.864,0.250,9.298
122.240,93.890,0.250,9.306
122.128,93.941,0.250,9.311
121.981,94.084,0.250,9.318
121.913,94.248,0.250,9.325
121.849,95.550,0.250,9.375
121.777,96.211,0.250,9.400
121.575,96.931,0.250,9.429
121.217,97.534,0.250,9.455
120.761,97.998,0.250,9.480
120.176,98.360,0.250,9.506
119.541,98.567,0.250,9.532
119.056,98.614,0.250,9.550
116.052,98.612,0.250,9.665
115.418,98.500,0.250,9.689
114.823,98.246,0.250,9.714
114.364,97.917,0.250,9.735
113.990,97.518,0.250,9.756
113.586,96.786,0.250,9.788
113.458,96.309,0.250,9.807
113.375,95.586,0.250,9.834
113.301,94.236,0.250,9.886
113.253,94.105,0.250,9.891
113.151,93.985,0.250,9.897
112.996,93.894,0.250,9.904
112.764,93.863,0.250,9.913
109.747,93.837,0.250,10.028
108.898,93.677,0.250,10.061
108.481,93.540,0.250,10.077
108.091,93.375,0.250,10.094
107.313,92.913,0.250,10.128
106.633,92.324,0.250,10.162
104.752,90.002,0.250,10.276
104.658,89.902,0.250,10.281
104.484,89.796,0.250,10.289
104.344,89.769,0.250,10.295
104.172,89.802,0.250,10.301
104.029,89.877,0.250,10.307
103.019,90.609,0.250,10.355
102.134,91.122,0.250,10.394
101.402,91.307,0.250,10.423
100.703,91.302,0.250,10.449
100.033,91.126,0.250,10.476
99.083,90.497,0.250,10.519
97.051,87.962,0.250,10.643
96.737,87.381,0.250,10.668
96.568,86.754,0.250,10.692
96.543,86.181,0.250,10.714
96.624,85.653,0.250,10.735
96.942,84.892,0.250,10.766
97.233,84.496,0.250,10.785
97.747,83.980,0.250,10.813
98.679,83.166,0.250,10.860
98.822,82.976,0.250,10.869
98.860,82.799,0.250,10.876
98.836,82.635,0.250,10.882
98.713,82.429,0.250,10.891
96.870,80.084,0.250,11.005
96.649,79.709,0.250,11.021
96.464,79.327,0.250,11.037
96.175,78.435,0.250,11.073
96.057,77.573,0.250,11.106
96.089,76.710,0.250,11.139
96.736,73.758,0.250,11.254
96.756,73.621,0.250,11.259
96.736,73.432,0.250,11.267
96.644,73.256,0.250,11.274
96.392,73.117,0.250,11.285
95.192,72.784,0.250,11.333
94.140,72.356,0.250,11.376
93.454,71.767,0.250,11.410
93.104,71.234,0.250,11.435
92.878,70.630,0.250,11.459
92.826,69.548,0.250,11.500
93.531,66.461,0.250,11.621
93.768,65.893,0.250,11.644
94.117,65.396,0.250,11.667
94.523,65.017,0.250,11.689
94.998,64.723,0.250,11.710
95.873,64.463,0.250,11.745
96.359,64.447,0.250,11.763
97.088,64.528,0.250,11.791
98.402,64.754,0.250,11.842
98.576,64.726,0.250,11.849
98.686,64.668,0.250,11.853
98.810,64.534,0.250,11.860
98.892,64.314,0.250,11.869
99.577,61.411,0.250,11.983
99.732,61.004,0.250,11.999
99.914,60.622,0.250,12.016
100.432,59.839,0.250,12.051
101.033,59.210,0.250,12.084
101.727,58.697,0.250,12.117
104.438,57.363,0.250,12.232
104.558,57.293,0.250,12.238
104.696,57.151,0.250,12.245
104.769,56.953,0.250,12.253
104.735,56.716,0.250,12.262
104.236,55.545,0.250,12.311
103.927,54.528,0.250,12.351
103.944,53.580,0.250,12.387
104.161,52.918,0.250,12.414
104.530,52.332,0.250,12.440
104.909,51.950,0.250,12.461
105.375,51.643,0.250,12.482
108.056,50.348,0.250,12.595
108.762,50.133,0.250,12.623
109.487,50.110,0.250,12.651
109.985,50.207,0.250,12.670
110.430,50.375,0.250,12.688
111.139,50.865,0.250,12.721
111.453,51.220,0.250,12.739
111.873,51.880,0.250,12.769
112.471,52.991,0.250,12.817
112.633,53.164,0.250,12.826
112.836,53.232,0.250,12.834
112.960,53.230,0.250,12.839
113.165,53.160,0.250,12.847
115.862,51.887,0.250,12.961
116.729,51.650,0.250,12.995
117.164,51.593,0.250,13.012
117.588,51.572,0.250,13.028
118.456,51.645,0.250,13.061
119.325,51.874,0.250,13.095
122.055,53.160,0.250,13.210
122.277,53.232,0.250,13.219
122.466,53.216,0.250,13.226
122.589,53.161,0.250,13.231
122.750,52.991,0.250,13.240
123.360,51.861,0.250,13.289
123.990,50.958,0.250,13.331
124.598,50.479,0.250,13.361
125.149,50.233,0.250,13.384
125.743,50.110,0.250,13.407
126.405,50.124,0.250,13.432
127.086,50.317,0.250,13.459
129.916,51.675,0.250,13.578
130.507,52.130,0.250,13.607
130.981,52.758,0.250,13.637
131.314,53.866,0.250,13.681
131.251,54.761,0.250,13.715
130.964,55.601,0.250,13.749
130.471,56.771,0.250,13.797
130.468,56.812,0.250,13.799
130.085,57.016,0.250,13.799
130.143,57.223,0.250,13.807
130.221,57.363,0.250,13.813
130.351,57.519,0.250,13.821
130.606,57.684,0.250,13.832
133.317,59.018,0.250,13.947
133.760,59.333,0.250,13.968
134.179,59.704,0.250,13.989
134.699,60.331,0.250,14.020
135.105,61.046,0.250,14.052
135.311,61.574,0.250,14.073
135.978,64.421,0.250,14.185
136.088,64.719,0.250,14.197
136.265,64.930,0.250,14.207
136.462,65.054,0.250,14.216
136.720,65.120,0.250,14.226
136.966,65.112,0.250,14.236
138.170,64.893,0.250,14.282
